Metric,Value
Test Loss,0.336603581905365
Test Accuracy,0.9467141628265381
Precision,0.956319960774252
Recall,0.946714172604909
F1 Score,0.9491494524042255
ROC AUC,
Class 0,199.28333333333333
Class 1,16.606944444444444
Class 2,15.942666666666666
Class 3,26.57111111111111
Class 4,18.116666666666667
Class 5,18.979365079365078
Class 6,79.71333333333334
Class 7,26.57111111111111
Class 8,26.57111111111111
Class 9,24.910416666666666
Class 10,18.116666666666667
Class 11,28.46904761904762
Class 12,17.328985507246376
Class 13,16.606944444444444
Class 14,44.285185185185185
Class 15,56.93809523809524
Class 16,79.71333333333334
Class 17,33.21388888888889
Class 18,30.65897435897436
Class 19,199.28333333333333
Class 20,132.85555555555555
Class 21,132.85555555555555
Class 22,99.64166666666667
Class 23,79.71333333333334
Class 24,132.85555555555555
Class 25,24.910416666666666
Class 26,66.42777777777778
Class 27,199.28333333333333
Class 28,79.71333333333334
Class 29,132.85555555555555
Class 30,79.71333333333334
Class 31,44.285185185185185
Class 32,199.28333333333333
Class 33,56.93809523809524
Class 34,99.64166666666667
Class 35,30.65897435897436
Class 36,99.64166666666667
Class 37,199.28333333333333
Class 38,17.328985507246376
Class 39,132.85555555555555
Class 40,132.85555555555555
Class 41,199.28333333333333
Class 42,132.85555555555555
